iter	Passed	Remaining
914	4578	425
915	4582	420
916	4586	415
917	4590	410
918	4593	404
919	4598	399
920	4602	394
921	4605	389
922	4609	384
923	4613	379
924	4616	374
925	4620	369
926	4623	364
927	4627	359
928	4631	353
929	4635	348
930	4639	343
931	4643	338
932	4648	333
933	4652	328
934	4656	323
935	4660	318
936	4664	313
937	4669	308
938	4673	303
939	4677	298
940	4680	293
941	4684	288
942	4688	283
943	4691	278
944	4696	273
945	4700	268
946	4704	263
947	4710	258
948	4715	253
949	4719	248
950	4722	243
951	4727	238
952	4731	233
953	4735	228
954	4739	223
955	4747	218
956	4750	213
957	4755	208
958	4763	203
959	4767	198
960	4770	193
961	4776	188
962	4779	183
963	4783	178
964	4787	173
965	4793	168
966	4796	163
967	4800	158
968	4804	153
969	4812	148
970	4816	143
971	4820	138
972	4825	133
973	4829	128
974	4833	123
975	4838	118
976	4843	114
977	4847	109
978	4851	104
979	4856	99
980	4860	94
981	4863	89
982	4868	84
983	4874	79
984	4887	74
985	4898	69
986	4904	64
987	4908	59
988	4911	54
989	4915	49
990	4920	44
991	4924	39
992	4928	34
993	4932	29
994	4937	24
995	4941	19
996	4945	14
997	4951	9
998	4955	4
999	4958	0
